" Subject: Marital Status, Marriages and Divorces "
 Topic : Total Divorces 
" Title  : M830202 - Divorce Rates, Annual "
"     20 - 24 Years (Per 1,000 Married Resident Females) ", 7.6 , 9.5 , 9.8 , 10.9 , 11.3 , 12.7 , 12.8 , 14.2 , 18 , 17 , 13.9 , 18.6 , 15.6 , 16.7 , 14.9 , 15.6 , 15.6 , 19.1 , 26.6 , 21.8 , 20.7 , 23.2 , 26.2 , 27.1 , 28 , 25.7 , 28.1 , 28.5 , 28.1 , 22.5 , 24.4 , 27.8 , 29.1 , 26.7 , 23.5 , 26.3 , 28.6 , 27.9 , 27.7 , 30 ,
"     25 - 29 Years (Per 1,000 Married Resident Females) ", 6.9 , 8.6 , 8.9 , 8.2 , 8.9 , 9.4 , 10.2 , 10.3 , 11.1 , 11.2 , 12.8 , 14.4 , 12 , 11.3 , 10 , 11.1 , 11.4 , 13.5 , 14.2 , 13.4 , 13.2 , 14 , 15.9 , 16.7 , 16.3 , 16.9 , 17.3 , 18 , 16.8 , 15 , 15 , 17.8 , 15.8 , 17.5 , 16 , 15.3 , 15.1 , 14.3 , 14.7 , 15.3 ,
"     30 - 34 Years (Per 1,000 Married Resident Females) ", 5.5 , 5.9 , 6 , 6 , 6.5 , 6 , 6.6 , 6.6 , 6.5 , 6.5 , 8.4 , 10.1 , 8.5 , 9.1 , 7.7 , 8.6 , 9.2 , 9.2 , 10.9 , 10 , 9.8 , 9.1 , 11.8 , 12.8 , 12.2 , 13.6 , 14 , 13.5 , 14 , 13.2 , 12.8 , 12 , 12 , 12.4 , 11.7 , 11.6 , 11.9 , 12.1 , 11.8 , 11.7 ,
"     35 - 39 Years (Per 1,000 Married Resident Females) ", 3.5 , 4 , 4.5 , 4.1 , 4.5 , 4.2 , 4.9 , 4.7 , 5.3 , 5 , 6.1 , 7.4 , 6.8 , 6.6 , 6.1 , 7.5 , 7.5 , 7.3 , 8.2 , 7.9 , 7.4 , 7.3 , 8.3 , 9.8 , 7.9 , 8.8 , 9.2 , 9.7 , 10 , 10.7 , 10.7 , 11 , 10 , 10.3 , 10.1 , 9.6 , 10.1 , 9.9 , 10.2 , 10.8 ,
"     40 - 44 Years (Per 1,000 Married Resident Females) ", 2.2 , 2.9 , 2.6 , 2.5 , 2.7 , 2.6 , 2.7 , 3.2 , 3.3 , 3.4 , 4.5 , 5.2 , 5.1 , 4.8 , 4.9 , 5.5 , 6.3 , 5.6 , 6.6 , 6.4 , 5.8 , 5.6 , 6.4 , 7 , 6.1 , 6.5 , 6.8 , 6.7 , 7 , 7.2 , 7.9 , 8.5 , 8.2 , 8 , 8.3 , 8.8 , 8.4 , 8.3 , 8.2 , 8.6 ,
"     45 - 49 Years (Per 1,000 Married Resident Females) ", 1 , 1.4 , 1 , 1.5 , 1.8 , 2.1 , 2.3 , 2.1 , 2 , 1.9 , 2.7 , 3.9 , 3.6 , 3.6 , 3.3 , 4 , 4.7 , 4.5 , 5.6 , 4.8 , 4.6 , 4.5 , 4.7 , 5 , 4.4 , 5 , 4.8 , 5 , 5.4 , 5.8 , 6.2 , 6.2 , 5.6 , 6.3 , 6.1 , 6.4 , 6.2 , 6.9 , 6.5 , 6.9 ,
"     50 Years And Over (Per 1,000 Married Resident Females) ", 0.5 , 0.5 , 0.6 , 0.5 , 0.6 , 0.6 , 0.8 , 0.6 , 0.8 , 0.8 , 0.8 , 1.1 , 1.3 , 1.2 , 1.2 , 1.4 , 1.4 , 1.9 , 2.1 , 2 , 2 , 1.9 , 2 , 2.5 , 2.1 , 2.3 , 2.3 , 2.5 , 2.3 , 2.3 , 2.4 , 2.4 , 2.4 , 2.5 , 2.4 , 2.6 , 2.6 , 2.6 , 2.4 , 2.7 ,
" Crude Divorce Rate * (Per 1,000 Residents) ", 0.8 , 0.9 , 0.9 , 1 , 0.9 , 0.9 , 1 , 1.1 , 1.1 , 1.1 , 1.3 , 1.6 , 1.4 , 1.4 , 1.3 , 1.4 , 1.5 , 1.6 , 1.8 , 1.6 , 1.6 , 1.5 , 1.7 , 1.9 , 1.8 , 1.9 , 1.9 , 2 , 1.9 , 1.9 , 1.9 , 2 , 1.9 , 1.9 , 1.9 , 1.9 , 1.9 , 1.9 , 1.8 , 1.9 ,



Data include annulments.

"MALE GENERAL MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL GROOMS AND TOTAL POPULATION.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT GROOMS AND RESIDENT POPULATION (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
"    60 - 64 YEARS - FOR 1980-1983, DATA REFER TO AGE GROUP 60 YEARS & OVER."
"FEMALE GENERAL MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL BRIDES AND TOTAL POPULATION.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT BRIDES AND RESIDENT POPULATION (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
"    60 - 64 YEARS - FOR 1980-1983, DATA REFER TO AGE GROUP 60 YEARS & OVER."
"CRUDE MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL MARRIAGES.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT MARRIAGES WHERE EITHER OR BOTH THE GROOM AND BRIDE ARE RESIDENTS (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Data last updated: 28/07/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
