" Subject: Marital Status, Marriages and Divorces "
 Topic : Total Marriages 
" Title  : M830102 - Marriage Rates, Annual "
"     55 - 59 Years (Per 1,000 Unmarried Resident Males) ", 18.6 , 34.2 , 28.7 , 15.4 , 17 , 12.4 , 20.1 , 13.2 , 13.9 , 16.1 , 10.1 , 13.6 , 14.4 , 23.2 , 18.4 , 16.6 , 13.8 , 14.7 , 18 , 18.1 , 15.5 , 16.5 , 19.1 , 16.9 , 18.2 , 21.6 , 19.3 , 22.8 , 22 , 20.7 , 19.8 , 23.3 , 21 , 16.1 , 17.6 , 17.3 , 14.5 , 16.1 , 15.9 , 15.8 ,
"     60 - 64 Years * (Per 1,000 Unmarried Resident Males) ", 4.7 , 6.7 , 5.8 , 4.1 , 11.7 , 9 , 10.2 , 9.3 , 12.9 , 8.2 , 6.3 , 9.1 , 7.7 , 9.7 , 9 , 11.1 , 8 , 10.9 , 10.2 , 10.4 , 12.1 , 10.5 , 10.8 , 7.5 , 10.4 , 13.5 , 16.1 , 14.6 , 13.1 , 14.7 , 12.8 , 17.5 , 15.6 , 11.9 , 12.4 , 12.5 , 12.5 , 10.6 , 10.7 , 11.4 ,
"     65 Years & Over (Per 1,000 Unmarried Resident Males) ", na , na , na , na , 1.9 , 2.1 , 2.2 , 2.6 , 2.2 , 2.5 , 1.8 , 3 , 2.3 , 3.3 , 2.4 , 3.2 , 2.9 , 3.1 , 2.5 , 2.8 , 3 , 3.2 , 2.5 , 2.2 , 3 , 4.8 , 4.3 , 3.2 , 3.7 , 4.5 , 2.9 , 4.2 , 5.1 , 4.1 , 3.9 , 4 , 4 , 3.9 , 3.8 , 4.1 ,
" Female General Marriage Rate * (Per 1,000 Unmarried Resident Females Aged 15-49) ", 67.3 , 68.7 , 63.9 , 56.4 , 66.3 , 62.5 , 52.6 , 62.3 , 65.3 , 60.1 , 59.2 , 61.5 , 59 , 57.4 , 56.1 , 54.9 , 52.6 , 58.4 , 47.9 , 54.8 , 46.8 , 44.1 , 45.8 , 43.7 , 41.2 , 39 , 40 , 40.1 , 39.6 , 38.9 , 35.3 , 39.2 , 39.4 , 36.9 , 40.8 , 41.1 , 41.6 , 42.8 , 40.8 , 37.9 ,
"     15 - 19 Years (Per 1,000 Unmarried Resident Females) ", 18.4 , 17.8 , 17.2 , 15.7 , 15.6 , 15.2 , 12.4 , 11.9 , 10.8 , 10.7 , 11 , 10.8 , 10.1 , 8.8 , 7.9 , 7.5 , 7 , 6.6 , 7.6 , 7.2 , 7.4 , 6.9 , 6.3 , 5.3 , 5 , 4.6 , 3.9 , 3.8 , 3.1 , 2.6 , 2.8 , 2.4 , 2.3 , 2.2 , 1.7 , 1.7 , 1.7 , 1.5 , 1.2 , 1.2 ,
"     20 - 24 Years (Per 1,000 Unmarried Resident Females) ", 110.5 , 109.5 , 100.4 , 85.1 , 101.6 , 95.5 , 77.5 , 87.9 , 94.6 , 88.5 , 84.8 , 84.7 , 78.8 , 72 , 71 , 70.1 , 65.4 , 75.2 , 58.7 , 66.3 , 54.3 , 51.5 , 50.1 , 45.9 , 43.3 , 38.5 , 37.4 , 34 , 30.9 , 26.9 , 22.6 , 23.5 , 24.4 , 21.3 , 22.3 , 20.9 , 19.9 , 19.8 , 18.4 , 16.4 ,
"     25 - 29 Years (Per 1,000 Unmarried Resident Females) ", 136.5 , 139.7 , 119.5 , 104.5 , 124.3 , 111.8 , 94.1 , 124.3 , 130.2 , 114.4 , 133 , 138 , 133.5 , 132.8 , 134.2 , 135.7 , 137.3 , 149.1 , 123.9 , 151 , 133 , 122.8 , 125.6 , 126 , 111.2 , 114.1 , 110.4 , 111.5 , 114.5 , 108.5 , 99 , 108 , 106.7 , 97.4 , 103.8 , 107.2 , 106.8 , 108.8 , 99.8 , 88.6 ,
"     30 - 34 Years (Per 1,000 Unmarried Resident Females) ", 74.3 , 77.7 , 75.9 , 63.6 , 68.1 , 62.6 , 59.2 , 74.3 , 76.7 , 76.7 , 69.1 , 76.4 , 74.4 , 74.5 , 77.6 , 76.5 , 74 , 82.2 , 70.5 , 84.8 , 69.8 , 70.2 , 75.2 , 75.1 , 75.9 , 70.6 , 78.9 , 84.2 , 79.8 , 88.2 , 81 , 96 , 96.2 , 89.2 , 105.3 , 106.5 , 105.8 , 101.6 , 100 , 95.5 ,
"     35 - 39 Years (Per 1,000 Unmarried Resident Females) ", 43.6 , 50.1 , 47.8 , 36.8 , 41.3 , 33.4 , 31.9 , 37.8 , 38.1 , 35.8 , 36.6 , 37.4 , 36.7 , 38.3 , 38.8 , 37.3 , 35.7 , 40.1 , 34.6 , 38.4 , 32.4 , 33.4 , 32.9 , 29.2 , 34.1 , 32.1 , 33.5 , 39.7 , 38.8 , 39.2 , 36.3 , 42.4 , 43.2 , 44.6 , 44.3 , 48.2 , 48.9 , 51.2 , 48 , 46.8 ,
"     40 - 44 Years (Per 1,000 Unmarried Resident Females) ", 22 , 26.2 , 23.7 , 19.1 , 16.7 , 18.5 , 17.3 , 19.3 , 20.7 , 20.3 , 14.7 , 15.6 , 17.5 , 17.9 , 16.7 , 16.9 , 19 , 19.6 , 16.8 , 18 , 17.2 , 14.8 , 14.1 , 15.9 , 16.4 , 15 , 17.5 , 18.3 , 18.7 , 17.3 , 16.2 , 20.7 , 21 , 19.4 , 19.5 , 21.1 , 21.3 , 22.4 , 22 , 21.4 ,
"     45 - 49 Years (Per 1,000 Unmarried Resident Females) ", 9.2 , 14.4 , 11.3 , 9.6 , 8.4 , 7.2 , 9.3 , 9.2 , 7.9 , 8.6 , 6.7 , 8.8 , 9.2 , 10.9 , 9.9 , 8.3 , 8.2 , 9.9 , 8.5 , 9.7 , 8.2 , 7.4 , 7.9 , 8.9 , 8.9 , 9.1 , 8.3 , 9 , 9.6 , 10.1 , 10.4 , 10.2 , 10.5 , 10.2 , 11.7 , 10.4 , 11.7 , 12 , 12.1 , 11 ,
"     50 - 54 Years (Per 1,000 Unmarried Resident Females) ", 2.6 , 3.8 , 3 , 3.3 , 2.8 , 3.3 , 3.7 , 2.8 , 3.6 , 3.4 , 3.6 , 3.8 , 3.7 , 3.3 , 3.2 , 3.3 , 3.6 , 5.3 , 5 , 4.6 , 4.2 , 3.4 , 3.4 , 3.4 , 4.1 , 4.3 , 4.3 , 4.4 , 4.3 , 5.5 , 5.5 , 6.1 , 5.7 , 5.2 , 5.4 , 6.7 , 5.5 , 5.6 , 6.3 , 6.5 ,
"     55 - 59 Years (Per 1,000 Unmarried Resident Females) ", 2.1 , 3.2 , 1.9 , 1.5 , 1.2 , 1.1 , 0.9 , 0.9 , 1.2 , 0.9 , 0.8 , 1.3 , 1.2 , 1.5 , 1.3 , 2.6 , 1.3 , 1.6 , 1.3 , 1.7 , 1.6 , 1.8 , 2.2 , 2.1 , 2.2 , 2.1 , 2.2 , 1.5 , 2.3 , 2.7 , 2.2 , 2.3 , 2.7 , 2.7 , 2.8 , 2.6 , 2.4 , 2.9 , 2.8 , 3.4 ,
"     60 - 64 Years * (Per 1,000 Unmarried Resident Females) ", 0.3 , 0.2 , 0.3 , 0.2 , 0.6 , 0.2 , 0.4 , 0.8 , 0.6 , 0.7 , 0.3 , 0.6 , 0.4 , 0.6 , 0.4 , 0.6 , 0.7 , 0.9 , 0.7 , 1.1 , 0.8 , 1 , 0.6 , 0.5 , 0.6 , 1.1 , 0.8 , 0.7 , 1 , 1 , 0.9 , 1.3 , 1.3 , 0.9 , 1 , 1.3 , 1.4 , 1.3 , 1.5 , 1.5 ,
"     65 Years & Over (Per 1,000 Unmarried Resident Females) ", na , na , na , na , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.1 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 ,
" Crude Marriage Rate * (Per 1,000 Residents) ", 9.8 , 10.6 , 9.7 , 9 , 9.8 , 9.2 , 7.7 , 8.9 , 9.3 , 8.7 , 8.6 , 8.7 , 8.9 , 8.6 , 8.2 , 8.1 , 7.7 , 8.1 , 7.1 , 7.8 , 6.7 , 6.5 , 6.6 , 6.3 , 6.3 , 6.4 , 6.5 , 6.4 , 6.5 , 6.6 , 6.1 , 6.7 , 6.7 , 6.3 , 6.8 , 6.7 , 6.6 , 6.6 , 6.4 , 5.9 ,





"MALE GENERAL MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL GROOMS AND TOTAL POPULATION.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT GROOMS AND RESIDENT POPULATION (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
"    60 - 64 YEARS - FOR 1980-1983, DATA REFER TO AGE GROUP 60 YEARS & OVER."
"FEMALE GENERAL MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL BRIDES AND TOTAL POPULATION.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT BRIDES AND RESIDENT POPULATION (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
"    60 - 64 YEARS - FOR 1980-1983, DATA REFER TO AGE GROUP 60 YEARS & OVER."
"CRUDE MARRIAGE RATE - PRIOR TO 1984, DATA ARE BASED ON TOTAL MARRIAGES.  FROM 1984 ONWARDS, DATA ARE BASED ON RESIDENT MARRIAGES WHERE EITHER OR BOTH THE GROOM AND BRIDE ARE RESIDENTS (I.E. SINGAPORE CITIZENS AND PERMANENT RESIDENTS)."
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Data last updated: 28/07/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
