 Subject: Transport 
 Topic : Land Transport 
" Title  : M651281 - Road Traffic Accident Casualties, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Number
     Others , 0 , 0 , 1 , 2 , 2 , 1 , 0 , 3 , 2 , 1 , 1 , 2 , 2 , 2 , 0 , 0 , 0 , 1 , 0 , 2 , 4 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 5 , 0 , 3 , 0 , 1 , 0 , 0 , 0 , 0 , 0 ,
 Total Casualties Injured , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 9,706 "," 10,352 "," 10,760 "," 10,886 "," 11,328 "," 10,611 "," 10,253 "," 9,751 "," 9,858 "," 10,412 "," 10,687 "," 9,953 "," 10,018 "," 9,833 ",
     Pedestrians On Foot , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 924 ," 1,036 "," 1,114 "," 1,073 "," 1,057 "," 1,049 "," 1,069 ", 989 , 883 , 973 ," 1,065 ", 903 , 877 , 979 ,
     Personal Mobility Device Users , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 95 , 162 , 197 ,
     Cyclists & Pillions * , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 493 , 519 , 585 , 569 , 562 , 513 , 442 , 436 , 503 , 606 , 594 , 589 , 499 , 452 ,
     Motor Cyclists & Pillion Riders , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 4,943 "," 5,358 "," 5,218 "," 5,304 "," 5,490 "," 5,003 "," 4,800 "," 4,383 "," 4,634 "," 4,928 "," 5,102 "," 4,803 "," 4,839 "," 5,010 ",
     Motor Vehicle Drivers & Passengers Cars & Station Wagons , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 2,306 "," 2,320 "," 2,562 "," 2,794 "," 2,839 "," 2,982 "," 2,782 "," 2,811 "," 2,686 "," 2,746 "," 2,698 "," 2,485 "," 2,537 "," 2,289 ",
     Goods Vans & Pick-ups , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 222 , 265 , 304 , 278 , 282 , 258 , 234 , 226 , 193 , 219 , 235 , 199 , 180 , 159 ,
"     Lorries, Tipper Trucks & Trailers ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 392 , 463 , 525 , 472 , 580 , 531 , 574 , 647 , 578 , 554 , 540 , 524 , 547 , 449 ,
     Buses , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 303 , 298 , 329 , 361 , 481 , 245 , 320 , 243 , 342 , 358 , 415 , 333 , 350 , 276 ,
     Others , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 123 , 93 , 123 , 35 , 37 , 30 , 32 , 16 , 39 , 28 , 38 , 22 , 27 , 22 ,





TOTAL 
    CARS - INCLUDES PRIVATE AND COMPANY CARS.
    PUBLIC MOTOR CARS - INCLUDES TAXIS AND PRIVATE HIRE CARS.
"    GOODS & OTHER VEHICLES - INCLUDES 'GOODS VEHICLES' (FROM JAN 1962 TO DEC 1994), 'OTHERS' (FROM JAN 1974 TO DEC 1994) AND 'ROAD ROLLERS & TRACTORS' (FROM JAN 1962 TO DEC 1988)."
SOURCE: SINGAPORE POLICE FORCE




Data last updated: 20/08/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
