year,sex,age,edu_1,employed
2020,females,35-39,lower_secondary,2000
2020,females,40-44,lower_secondary,3900
2020,females,45-49,lower_secondary,5600
2020,females,50-54,lower_secondary,6500
2020,females,55-59,lower_secondary,9000
2020,females,60-64,lower_secondary,6300
2020,females,65-69,lower_secondary,5200
2020,females,70_and_over,lower_secondary,2500
2020,females,15-19,secondary,4300
2020,females,20-24,secondary,4000
2020,females,25-29,secondary,6200
2020,females,30-34,secondary,7800
2020,females,35-39,secondary,13500
2020,females,40-44,secondary,15300
2020,females,45-49,secondary,23300
2020,females,50-54,secondary,27400
2020,females,55-59,secondary,28400
2020,females,60-64,secondary,22000
2020,females,65-69,secondary,12600
2020,females,70_and_over,secondary,5400
2020,females,15-19,post-sec,2700
2020,females,20-24,post-sec,10100
2020,females,25-29,post-sec,6200
2020,females,30-34,post-sec,7100
2020,females,35-39,post-sec,6600
2020,females,40-44,post-sec,7900
2020,females,45-49,post-sec,12100
2020,females,50-54,post-sec,14200
2020,females,55-59,post-sec,12800
2020,females,60-64,post-sec,8200
2020,females,65-69,post-sec,4100
2020,females,70_and_over,post-sec,2100
2020,females,15-19,dip_and_professional_qual,700
2020,females,20-24,dip_and_professional_qual,22500
2020,females,25-29,dip_and_professional_qual,26800
2020,females,30-34,dip_and_professional_qual,24900
2020,females,35-39,dip_and_professional_qual,27700
2020,females,40-44,dip_and_professional_qual,28100
2020,females,45-49,dip_and_professional_qual,24900
2020,females,50-54,dip_and_professional_qual,18500
2020,females,55-59,dip_and_professional_qual,11600
2020,females,60-64,dip_and_professional_qual,8100
2020,females,65-69,dip_and_professional_qual,2500
2020,females,70_and_over,dip_and_professional_qual,1400
2020,females,15-19,degree,-
2020,females,20-24,degree,18300
2020,females,25-29,degree,78800
2020,females,30-34,degree,83000
2020,females,35-39,degree,77300
2020,females,40-44,degree,64400
2020,females,45-49,degree,48400
2020,females,50-54,degree,28600
2020,females,55-59,degree,16800
2020,females,60-64,degree,8600
2020,females,65-69,degree,2500
2020,females,70_and_over,degree,1200
